id,point,longitude,latitude,area
0,point_1001,79.860030,6.904960,0.001294
1,point_1002,79.884670,6.845640,0.000196
2,point_1003,79.890480,6.952850,0.002987
3,point_1004,79.909309,6.903658,0.001472
4,point_1005,79.915356,6.934940,0.001019
5,point_1006,79.916290,6.840300,0.000184
6,point_1007,79.919710,6.876950,0.001098
7,point_1008,79.939360,6.957500,0.006829
8,point_1009,79.941150,6.923600,0.001248
9,point_1010,79.950410,6.873630,0.000739
10,point_1011,79.958180,6.865576,0.000670
11,point_1012,79.968420,6.884920,0.002991
12,point_1013,79.975720,6.931510,0.010992
13,point_1014,79.976830,6.845290,0.003691
14,point_1016,80.154020,6.868930,0.006724
